Name,Cluster
Bitcoin,2
Ethereum,2
XRP,3
BitcoinCash,3
EOS,2
Stellar,3
Litecoin,2
Cardano,2
Tether,2
Monero,2
TRON,2
Dash,2
IOTA,2
BinanceCoin,2
NEO,2
EthereumClassic,2
NEM,2
Tezos,2
Zcash,3
VeChain,1
BitcoinGold,3
Maker,2
OmiseGO,2
X0x,1
Dogecoin,1
Decred,2
Qtum,2
Ontology,1
Lisk,2
Zilliqa,2
Aeternity,2
BasicAttenti...,2
BitcoinDiamond,2
BitShares,2
Nano,2
Bytecoin,2
PundiX,2
ICON,2
Siacoin,2
DigiByte,2
Steem,2
Verge,2
Bytom,2
Aurora,2
Chainlink,2
Populous,2
Waves,2
MetaverseETP,2
Augur,3
Golem,2
